ingredient,dii_score,matched_nutrients,total_nutrients,match_percentage,general people inflammation,Sam inflammation,Andrea inflammation,10:0,12:0,14:0,16:0,16:1,18:0,18:1,18:2,18:3,18:4,20:1,20:4,20:5 n-3,22:1,22:5 n-3,22:6 n-3,4:0,6:0,8:0,Alcohol,Caffeine,Calcium,Carbohydrate,"Carotene, alpha","Carotene, beta",Cholesterol,"Choline, total",Copper,"Cryptoxanthin, beta",Energy,"Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated","Fatty acids, total saturated","Fiber, total dietary","Folate, DFE","Folate, food","Folate, total",Folic acid,Iron,Lutein + zeaxanthin,Lycopene,Magnesium,Niacin,Phosphorus,Potassium,Protein,Retinol,Riboflavin,Selenium,Sodium,"Sugars, total",Theobromine,Thiamin,Total Fat,"Vitamin A, RAE",Vitamin B-12,"Vitamin B-12, added",Vitamin B-6,Vitamin C,Vitamin D (D2 + D3),Vitamin E (alpha-tocopherol),"Vitamin E, added",Vitamin K (phylloquinone),Water,Zinc
"Turnips, raw",-10.0812,26,65,40.0,-10.0812,,-9.847,0.0,0.0,0.0,0.01,0.001,0.001,0.006,0.012,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,6.43,0.0,0.0,0.0,11.1,0.085,0.0,28.0,0.006,0.053,0.011,1.8,15.0,15.0,15.0,0.0,0.3,0.0,0.0,11.0,0.4,27.0,191.0,0.9,0.0,0.03,0.7,67.0,3.8,0.0,0.04,0.1,0.0,0.0,0.0,0.09,21.0,0.0,0.03,0.0,0.1,91.87,0.27
"Turnip greens, cooked, boiled, drained, without salt",-177.0885,26,65,40.0,-177.0885,-176.8731,-177.3639,0.001,0.001,0.002,0.041,0.011,0.007,0.004,0.028,0.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,137.0,4.36,0.0,4575.0,0.0,0.3,0.253,0.0,20.0,0.015,0.091,0.053,3.5,118.0,118.0,118.0,0.0,0.8,8440.0,0.0,22.0,0.411,29.0,203.0,1.14,0.0,0.072,0.9,29.0,0.53,0.0,0.045,0.23,381.0,0.0,0.0,0.18,27.4,0.0,1.88,0.0,367.6,93.2,0.14
"Turnip greens, frozen, cooked, boiled, drained, without salt",-239.2734,26,65,40.0,-239.2734,-219.7051,,0.002,0.002,0.004,0.076,0.02,0.014,0.007,0.051,0.119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,152.0,4.98,0.0,6459.0,0.0,0.5,0.15,0.0,29.0,0.028,0.17,0.099,3.4,39.0,39.0,39.0,0.0,1.94,11915.0,0.0,26.0,0.468,34.0,224.0,3.35,0.0,0.074,1.2,15.0,0.75,0.0,0.054,0.42,538.0,0.0,0.0,0.067,21.8,0.0,2.66,0.0,518.9,90.4,0.41
"Vegetable juice cocktail, canned",-39.1847,26,65,40.0,-39.1847,,,0.0,0.0,0.0,0.06,0.0,0.021,0.06,0.064,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,3.87,93.0,377.0,0.0,8.1,0.068,0.0,22.0,0.06,0.076,0.088,0.5,21.0,21.0,21.0,0.0,0.28,278.0,7119.0,11.0,0.722,19.0,185.0,0.93,0.0,0.033,0.2,169.0,2.84,0.0,0.05,0.31,35.0,0.0,0.0,0.071,54.3,0.0,1.02,0.0,6.1,94.09,0.12
"Vegetables, mixed, frozen, cooked, boiled, drained, without salt",-89.4853,26,65,40.0,-89.4853,,,0.0,0.0,0.0,0.027,0.0,0.003,0.009,0.053,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,13.09,968.0,2082.0,0.0,24.1,0.083,0.0,65.0,0.01,0.072,0.031,4.4,19.0,19.0,19.0,0.0,0.82,637.0,0.0,22.0,0.851,51.0,169.0,2.86,0.0,0.12,0.3,35.0,3.12,0.0,0.071,0.15,214.0,0.0,0.0,0.074,3.2,0.0,0.38,0.0,23.5,83.23,0.49
"Waterchestnuts, chinese, canned, solids and liquids",5.0144,26,65,40.0,5.0144,5.1844,5.5812,0.001,0.002,0.001,0.01,0.001,0.002,0.001,0.019,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.3,0.0,0.0,0.0,18.5,0.1,0.0,50.0,0.001,0.026,0.016,2.5,6.0,6.0,6.0,0.0,0.87,0.0,0.0,5.0,0.36,19.0,118.0,0.88,0.0,0.024,0.7,8.0,2.46,0.0,0.011,0.06,0.0,0.0,0.0,0.159,1.3,0.0,0.5,0.0,0.2,86.42,0.38
"Watercress, raw",-92.556,26,65,40.0,-92.556,-100.089,-94.6771,0.0,0.0,0.0,0.024,0.002,0.003,0.006,0.012,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,1.29,0.0,1914.0,0.0,9.0,0.077,0.0,11.0,0.008,0.035,0.027,0.5,9.0,9.0,9.0,0.0,0.2,5767.0,0.0,21.0,0.2,60.0,330.0,2.3,0.0,0.12,0.9,41.0,0.2,0.0,0.09,0.1,160.0,0.0,0.0,0.129,43.0,0.0,1.0,0.0,250.0,95.11,0.11
"Waxgourd, (chinese preserving melon), cooked, boiled, drained, without salt",-7.4499,26,65,40.0,-7.4499,,-7.7732,0.0,0.0,0.0,0.011,0.0,0.005,0.037,0.088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,3.04,0.0,0.0,0.0,4.9,0.022,0.0,14.0,0.037,0.088,0.016,1.0,4.0,4.0,4.0,0.0,0.38,197.0,0.0,10.0,0.384,17.0,5.0,0.4,0.0,0.001,0.2,107.0,1.18,0.0,0.034,0.2,0.0,0.0,0.0,0.032,10.5,0.0,0.08,0.0,2.8,96.06,0.59
"Yambean (jicama), raw",-10.7251,26,65,40.0,-10.7251,-9.7602,-10.3316,0.0,0.0,0.0,0.018,0.0,0.002,0.005,0.029,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,8.82,0.0,13.0,0.0,13.6,0.048,0.0,38.0,0.005,0.043,0.021,4.9,12.0,12.0,12.0,0.0,0.6,0.0,0.0,12.0,0.2,18.0,150.0,0.72,0.0,0.029,0.7,4.0,1.8,0.0,0.02,0.09,1.0,0.0,0.0,0.042,20.2,0.0,0.46,0.0,0.3,90.07,0.16
"Beets, pickled, canned, solids and liquids",3.3616,26,65,40.0,3.3616,3.4509,,0.0,0.0,0.0,0.013,0.0,0.001,0.016,0.027,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,16.28,0.0,29.0,0.0,15.0,0.116,0.0,65.0,0.016,0.029,0.013,0.8,27.0,27.0,27.0,0.0,0.41,0.0,0.0,15.0,0.251,17.0,115.0,0.8,0.0,0.048,1.0,149.0,11.05,0.0,0.01,0.08,2.0,0.0,0.0,0.05,2.3,0.0,0.06,0.0,0.3,81.88,0.26
"Squash, winter, all varieties, cooked, baked, without salt",-111.2605,26,65,40.0,-111.2605,-117.0341,-117.2732,0.0,0.002,0.001,0.062,0.002,0.007,0.024,0.055,0.092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,8.85,682.0,2793.0,0.0,10.6,0.082,0.0,37.0,0.026,0.147,0.072,2.8,20.0,20.0,20.0,0.0,0.44,1415.0,0.0,13.0,0.495,19.0,241.0,0.89,0.0,0.067,0.4,1.0,3.3,0.0,0.016,0.35,261.0,0.0,0.0,0.161,9.6,0.0,0.12,0.0,4.4,89.21,0.22
"Carrot juice, canned",-392.3776,26,65,40.0,-392.3776,-415.2328,-396.0548,0.0,0.002,0.001,0.021,0.002,0.001,0.005,0.061,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,9.28,4342.0,9303.0,0.0,9.9,0.046,0.0,40.0,0.007,0.071,0.027,0.8,4.0,4.0,4.0,0.0,0.46,333.0,2.0,14.0,0.386,42.0,292.0,0.95,0.0,0.055,0.6,66.0,3.91,0.0,0.092,0.15,956.0,0.0,0.0,0.217,8.5,0.0,1.16,0.0,15.5,88.87,0.18
"Seaweed, agar, dried",-319.4672,26,65,40.0,-319.4672,-296.0292,,0.0,0.0,0.003,0.055,0.009,0.003,0.009,0.004,0.001,0.0,0.009,0.01,0.087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,625.0,80.88,0.0,0.0,0.0,63.3,0.61,0.0,306.0,0.027,0.102,0.061,7.7,580.0,580.0,580.0,0.0,21.4,0.0,0.0,770.0,0.202,52.0,1125.0,6.21,0.0,0.222,7.4,102.0,2.97,0.0,0.01,0.3,0.0,0.0,0.0,0.303,0.0,0.0,5.0,0.0,24.4,8.68,5.8
"Seaweed, spirulina, dried",-61.5244,26,65,40.0,-61.5244,-65.1169,,0.0,0.0,0.075,2.496,0.328,0.077,0.347,1.254,0.823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,23.9,0.0,342.0,0.0,66.0,6.1,0.0,290.0,0.675,2.08,2.65,3.6,94.0,94.0,94.0,0.0,28.5,0.0,0.0,195.0,12.82,118.0,1363.0,57.47,0.0,3.67,7.2,1048.0,3.1,0.0,2.38,7.72,29.0,0.0,0.0,0.364,10.1,0.0,5.0,0.0,25.5,4.68,2.0
"Seaweed, wakame, raw",-52.5379,26,65,40.0,-52.5379,-57.6353,,0.0,0.0,0.007,0.117,0.019,0.006,0.02,0.01,0.002,0.0,0.02,0.021,0.186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,9.14,0.0,216.0,0.0,13.9,0.284,0.0,45.0,0.058,0.218,0.13,0.5,196.0,196.0,196.0,0.0,2.18,0.0,0.0,107.0,1.6,80.0,50.0,3.03,0.0,0.23,0.7,872.0,0.65,0.0,0.06,0.64,18.0,0.0,0.0,0.002,3.0,0.0,1.0,0.0,5.3,79.99,0.38
"Potatoes, baked, flesh and skin, without salt",-1.2505,26,65,40.0,-1.2505,,-1.6221,0.001,0.004,0.001,0.022,0.001,0.005,0.001,0.043,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,21.15,0.0,6.0,0.0,14.8,0.118,0.0,93.0,0.003,0.057,0.034,2.2,28.0,28.0,28.0,0.0,1.08,30.0,0.0,28.0,1.41,70.0,535.0,2.5,0.0,0.048,0.4,10.0,1.18,0.0,0.064,0.13,1.0,0.0,0.0,0.311,9.6,0.0,0.04,0.0,2.0,74.89,0.36
"Beans, snap, green, canned, no salt added, drained solids",-11.7131,26,65,40.0,-11.7131,-10.5469,-12.7204,0.0,0.0,0.0,0.089,0.0,0.014,0.019,0.089,0.145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,4.32,156.0,122.0,0.0,14.7,0.034,24.0,22.0,0.019,0.234,0.103,1.9,28.0,28.0,28.0,0.0,1.06,452.0,0.0,13.0,0.206,20.0,96.0,1.12,0.0,0.046,0.4,2.0,0.78,0.0,0.016,0.46,18.0,0.0,0.0,0.03,2.8,0.0,0.03,0.0,38.9,93.38,0.2
"Beans, snap, yellow, frozen, cooked, boiled, drained, without salt",-12.3894,26,65,40.0,-12.3894,-12.0956,-12.8806,0.0,0.0,0.0,0.035,0.0,0.006,0.007,0.036,0.047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,6.45,15.0,60.0,0.0,13.5,0.061,0.0,28.0,0.008,0.083,0.044,3.0,23.0,23.0,23.0,0.0,0.88,564.0,0.0,24.0,0.383,31.0,126.0,1.49,0.0,0.09,0.4,9.0,1.88,0.0,0.035,0.17,6.0,0.0,0.0,0.06,4.1,0.0,0.04,0.0,38.1,91.42,0.48
"Beets, canned, no salt added, solids and liquids",-4.6456,26,65,40.0,-4.6456,-4.2692,-4.3006,0.0,0.0,0.0,0.011,0.0,0.0,0.013,0.023,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,6.57,0.0,13.0,0.0,6.9,0.097,0.0,28.0,0.013,0.025,0.011,1.2,29.0,29.0,29.0,0.0,0.63,0.0,0.0,16.0,0.151,16.0,142.0,0.8,0.0,0.038,0.5,21.0,5.38,0.0,0.01,0.07,1.0,0.0,0.0,0.055,2.8,0.0,0.03,0.0,0.1,91.62,0.23
"Carrots, canned, no salt added, solids and liquids",-229.1732,26,65,40.0,-229.1732,-218.1663,-230.5195,0.0,0.002,0.001,0.02,0.002,0.001,0.005,0.059,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,5.36,2743.0,5331.0,0.0,6.3,0.103,0.0,23.0,0.007,0.068,0.024,1.8,8.0,8.0,8.0,0.0,0.52,0.0,0.0,9.0,0.421,20.0,158.0,0.59,0.0,0.027,0.4,34.0,2.46,0.0,0.019,0.14,558.0,0.0,0.0,0.112,2.0,0.0,0.73,0.0,9.8,92.99,0.29
"Corn, sweet, yellow, canned, no salt added, solids and liquids (Includes foods for USDA's Food Distribution Program)",1.7946,26,65,40.0,1.7946,,1.8555,0.0,0.0,0.0,0.071,0.0,0.004,0.144,0.227,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,13.86,10.0,9.0,0.0,16.6,0.028,14.0,61.0,0.144,0.234,0.077,1.7,38.0,38.0,38.0,0.0,0.36,650.0,0.0,15.0,0.884,46.0,136.0,1.95,0.0,0.015,0.5,12.0,4.15,0.0,0.015,0.77,2.0,0.0,0.0,0.037,2.6,0.0,0.03,0.0,0.0,82.61,0.39
"Peas, green, canned, no salt added, solids and liquids",-34.0204,26,65,40.0,-34.0204,-33.0787,-33.049,0.0,0.0,0.0,0.048,0.0,0.005,0.027,0.115,0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,9.75,14.0,859.0,0.0,18.9,0.108,0.0,53.0,0.027,0.142,0.054,3.3,29.0,29.0,29.0,0.0,1.02,1650.0,0.0,17.0,0.842,53.0,100.0,3.19,0.0,0.073,1.3,9.0,3.2,0.0,0.111,0.3,72.0,0.0,0.0,0.065,9.8,0.0,0.02,0.0,16.5,85.92,0.7
"Peppers, hot chili, red, raw",-85.5229,27,65,41.5,-85.5229,,-109.0279,0.0,0.0,0.002,0.033,0.0,0.007,0.024,0.228,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,8.81,36.0,534.0,0.0,10.9,0.129,40.0,40.0,0.024,0.239,0.042,1.5,23.0,23.0,23.0,0.0,1.03,709.0,0.0,23.0,1.244,43.0,322.0,1.87,0.0,0.086,0.5,9.0,5.3,0.0,0.072,0.44,48.0,0.0,0.0,0.506,143.7,0.0,0.69,0.0,14.0,88.02,0.26
"Peppers, bell, red, raw",-125.0757,27,65,41.5,-125.0757,,-167.5597,0.0,0.0,0.0,0.056,0.004,0.004,0.004,0.1,0.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.65,20.0,1624.0,0.0,5.6,0.04,490.0,31.0,0.007,0.156,0.059,1.2,47.0,47.0,47.0,0.0,0.35,51.0,0.0,11.0,1.024,27.0,213.0,0.9,0.0,0.142,0.0,0.0,4.2,0.0,0.055,0.13,157.0,0.0,0.0,0.303,141.7,0.0,1.58,0.0,4.9,91.93,0.2
"Tomatoes, red, ripe, canned, packed in tomato juice, no salt added",-17.8089,26,65,40.0,-17.8089,-18.6815,,0.0,0.0,0.0,0.025,0.002,0.009,0.038,0.097,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,3.47,0.0,265.0,0.0,7.0,0.052,0.0,16.0,0.04,0.101,0.034,1.9,8.0,8.0,8.0,0.0,0.57,85.0,2745.0,10.0,0.712,17.0,191.0,0.79,0.0,0.055,0.7,10.0,2.55,0.0,0.575,0.25,22.0,0.0,0.0,0.111,12.6,0.0,0.59,0.0,2.9,94.75,0.12
"Tomato products, canned, puree, with salt added",-21.1303,26,65,40.0,-21.1303,-20.9049,-23.9029,0.0,0.0,0.0,0.022,0.0,0.007,0.031,0.082,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,8.98,0.0,306.0,0.0,17.6,0.287,0.0,38.0,0.031,0.086,0.029,1.9,11.0,11.0,11.0,0.0,1.78,0.0,21754.0,23.0,1.466,40.0,439.0,1.65,0.0,0.08,0.7,202.0,4.83,0.0,0.025,0.21,26.0,0.0,0.0,0.126,10.6,0.0,1.97,0.0,3.4,87.88,0.36
Catsup,0.8306,26,65,40.0,0.8306,0.8933,,0.0,0.0,0.0,0.01,0.001,0.004,0.015,0.039,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,27.4,0.0,316.0,0.0,12.5,0.085,0.0,101.0,0.015,0.041,0.014,0.3,9.0,9.0,9.0,0.0,0.35,161.0,12062.0,13.0,1.434,26.0,281.0,1.04,0.0,0.166,0.7,907.0,21.27,0.0,0.011,0.1,26.0,0.0,0.0,0.158,4.1,0.0,1.46,0.0,3.0,68.51,0.17
"Pickles, cucumber, dill or kosher dill",-3.8572,26,65,40.0,-3.8572,-4.0178,-3.8183,0.0,0.003,0.003,0.065,0.0,0.008,0.005,0.052,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,1.99,0.0,45.0,0.0,3.4,0.026,1.0,14.0,0.005,0.122,0.079,1.0,8.0,8.0,8.0,0.0,0.23,199.0,0.0,7.0,0.109,16.0,112.0,0.48,0.0,0.057,0.0,808.0,1.28,0.0,0.047,0.43,4.0,0.0,0.0,0.034,2.1,0.0,0.12,0.0,16.8,94.7,0.11
"Pickles, cucumber, sweet (includes bread and butter pickles)",-1.4424,26,65,40.0,-1.4424,-2.0353,-1.5079,0.0,0.002,0.002,0.056,0.0,0.006,0.004,0.046,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,21.15,81.0,325.0,0.0,3.1,0.028,186.0,91.0,0.004,0.106,0.067,1.0,1.0,1.0,1.0,0.0,0.25,170.0,0.0,7.0,0.115,18.0,100.0,0.58,0.0,0.03,0.0,457.0,18.27,0.0,0.025,0.41,38.0,0.0,0.0,0.024,0.7,0.0,0.36,0.0,47.1,76.2,0.12
"Pimento, canned",-90.2141,26,65,40.0,-90.2141,-98.0101,-84.4085,0.0,0.0,0.001,0.033,0.002,0.011,0.018,0.146,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.1,238.0,1474.0,0.0,6.3,0.049,0.0,23.0,0.02,0.161,0.045,1.9,6.0,6.0,6.0,0.0,1.68,366.0,0.0,6.0,0.615,17.0,158.0,1.1,0.0,0.06,0.2,14.0,2.71,0.0,0.017,0.3,133.0,0.0,0.0,0.215,84.9,0.0,0.69,0.0,8.3,93.1,0.19
"Pickle relish, sweet",-1.7356,26,65,40.0,-1.7356,-1.9026,,0.0,0.001,0.001,0.045,0.001,0.007,0.09,0.059,0.063,0.0,0.024,0.0,0.0,0.094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,35.06,129.0,519.0,0.0,4.9,0.085,296.0,130.0,0.209,0.122,0.054,1.1,1.0,1.0,1.0,0.0,0.87,271.0,0.0,5.0,0.233,14.0,25.0,0.37,0.0,0.033,0.0,811.0,29.13,0.0,0.0,0.47,61.0,0.0,0.0,0.015,1.0,0.0,0.58,0.0,83.8,62.07,0.14
"Catsup, low sodium",0.8306,26,65,40.0,0.8306,0.7749,0.8003,0.0,0.0,0.0,0.01,0.001,0.004,0.015,0.039,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,27.4,0.0,316.0,0.0,12.5,0.085,0.0,101.0,0.015,0.041,0.014,0.3,9.0,9.0,9.0,0.0,0.35,161.0,12062.0,13.0,1.434,26.0,281.0,1.04,0.0,0.166,0.7,20.0,21.27,0.0,0.011,0.1,26.0,0.0,0.0,0.158,4.1,0.0,1.46,0.0,3.0,68.51,0.17
"Radicchio, raw",-7.4084,26,65,40.0,-7.4084,,-8.0032,0.0,0.0,0.003,0.052,0.0,0.003,0.005,0.093,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,4.48,0.0,16.0,0.0,10.9,0.341,0.0,23.0,0.01,0.11,0.06,0.9,60.0,60.0,60.0,0.0,0.57,8832.0,0.0,13.0,0.255,40.0,302.0,1.43,0.0,0.028,0.9,22.0,0.6,0.0,0.016,0.25,1.0,0.0,0.0,0.057,8.0,0.0,2.26,0.0,255.2,93.14,0.62
"Tomatoes, sun-dried",-87.632,26,65,40.0,-87.632,-83.5711,-101.2092,0.0,0.0,0.004,0.326,0.011,0.096,0.476,1.104,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,55.76,0.0,524.0,0.0,104.6,1.423,0.0,258.0,0.487,1.115,0.426,12.3,68.0,68.0,68.0,0.0,9.09,1419.0,45902.0,194.0,9.05,356.0,3427.0,14.11,0.0,0.489,5.5,107.0,37.59,0.0,0.528,2.97,44.0,0.0,0.0,0.332,39.2,0.0,0.01,0.0,43.0,14.56,1.99
"Fennel, bulb, raw",-29.2008,26,65,40.0,-29.2008,-26.6935,-29.8569,0.0,0.0,0.002,0.079,0.002,0.009,0.065,0.169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,7.3,0.0,578.0,0.0,13.2,0.066,0.0,31.0,0.068,0.169,0.09,3.1,27.0,27.0,27.0,0.0,0.73,607.0,0.0,17.0,0.64,50.0,414.0,1.24,0.0,0.032,0.7,52.0,3.93,0.0,0.01,0.2,48.0,0.0,0.0,0.047,12.0,0.0,0.58,0.0,62.8,90.21,0.2
"Arugula, raw",-74.1401,26,65,40.0,-74.1401,-75.0667,-70.5295,0.0,0.003,0.0,0.072,0.001,0.004,0.046,0.13,0.17,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,3.65,0.0,1424.0,0.0,15.3,0.076,0.0,25.0,0.049,0.319,0.086,1.6,97.0,97.0,97.0,0.0,1.46,3555.0,0.0,47.0,0.305,52.0,369.0,2.58,0.0,0.086,0.3,27.0,2.05,0.0,0.044,0.66,119.0,0.0,0.0,0.073,15.0,0.0,0.43,0.0,108.6,91.71,0.47
"Carrots, baby, raw",-280.8932,26,65,40.0,-280.8932,,-261.1267,0.0,0.0,0.0,0.03,0.002,0.002,0.011,0.1,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,9.08,3767.0,6391.0,0.0,7.5,0.041,0.0,41.0,0.007,0.065,0.023,2.7,44.0,44.0,44.0,0.0,0.09,358.0,0.0,11.0,0.741,30.0,237.0,0.8,0.0,0.116,0.0,63.0,4.76,0.0,0.044,0.14,690.0,0.0,0.0,0.115,2.6,0.0,0.66,0.0,9.4,89.3,0.16
"Nopales, raw",-37.0157,26,65,40.0,-37.0157,-34.3254,-36.574,0.0,0.0,0.0,0.012,0.002,0.002,0.017,0.044,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,3.33,48.0,250.0,0.0,7.3,0.052,0.0,16.0,0.018,0.05,0.016,2.2,3.0,3.0,3.0,0.0,0.59,0.0,0.0,52.0,0.41,16.0,257.0,1.32,0.0,0.041,0.7,21.0,1.15,0.0,0.012,0.09,23.0,0.0,0.0,0.07,9.3,0.0,0.0,0.0,5.3,94.12,0.25
"Cauliflower, green, raw",-46.7085,26,65,40.0,-46.7085,,,0.0,0.0,0.0,0.038,0.004,0.004,0.023,0.029,0.104,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,6.09,0.0,93.0,0.0,57.1,0.041,0.0,31.0,0.028,0.133,0.047,3.2,57.0,57.0,57.0,0.0,0.73,42.0,0.0,20.0,0.734,62.0,300.0,2.95,0.0,0.102,0.6,23.0,3.03,0.0,0.08,0.3,8.0,0.0,0.0,0.222,88.1,0.0,0.04,0.0,20.2,89.79,0.64
"Ketchup, restaurant",3.3097,26,65,40.0,3.3097,,,0.0,0.0,0.0,0.01,0.001,0.004,0.015,0.039,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,26.8,0.0,316.0,0.0,12.5,0.066,0.0,117.0,0.015,0.041,0.014,0.3,9.0,9.0,9.0,0.0,0.43,161.0,12062.0,14.0,1.434,25.0,249.0,1.11,0.0,0.166,0.7,949.0,21.8,0.0,0.011,0.55,26.0,0.0,0.0,0.158,4.1,0.0,1.46,0.0,3.0,68.5,0.16
"Grape leaves, raw",-50.9448,26,65,40.0,-50.9448,,,0.0,0.0,0.005,0.243,0.035,0.026,0.039,0.148,0.856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363.0,17.31,629.0,16194.0,0.0,12.8,0.415,9.0,93.0,0.081,1.065,0.336,11.0,83.0,83.0,83.0,0.0,2.63,1747.0,0.0,95.0,2.362,91.0,272.0,5.6,0.0,0.354,0.9,9.0,6.3,0.0,0.04,2.12,1376.0,0.0,0.0,0.4,11.1,0.0,2.0,0.0,108.6,73.32,0.67
"Pepper, banana, raw",-47.9762,27,65,41.5,-47.9762,-52.0519,-63.7308,0.0,0.0,0.001,0.036,0.002,0.007,0.025,0.24,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,5.35,39.0,184.0,0.0,7.4,0.094,0.0,27.0,0.027,0.243,0.048,3.4,29.0,29.0,29.0,0.0,0.46,0.0,0.0,17.0,1.242,32.0,256.0,1.66,0.0,0.054,0.3,13.0,1.95,0.0,0.081,0.45,17.0,0.0,0.0,0.357,82.7,0.0,0.69,0.0,9.5,91.81,0.25
"Peppers, serrano, raw",-45.8966,27,65,41.5,-45.8966,-48.4502,-55.732,0.0,0.0,0.001,0.043,0.002,0.01,0.021,0.216,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,6.7,18.0,534.0,0.0,8.9,0.129,40.0,32.0,0.023,0.222,0.059,3.7,23.0,23.0,23.0,0.0,0.86,544.0,0.0,22.0,1.537,40.0,305.0,1.74,0.0,0.081,0.4,10.0,3.83,0.0,0.054,0.44,47.0,0.0,0.0,0.505,44.9,0.0,0.69,0.0,11.8,90.25,0.26
